project_id,mp_name,constituency,state,district,work_type,latitude,longitude,recommended_date,sanction_date,completion_date,status,allocated_amount,sanctioned_amount,expenditure_reported,unspent_balance,vendor_name,vendor_reg_no,vendor_pan,vendor_registration_date,contract_amount,has_photo,photo_urls,uc_text
MPLAD-UT-2024-1011,Shri Ravi Shankar,Varanasi (UP-77),Uttar Pradesh,Varanasi,Anganwadi & Nutritious Meal Center,25.435943,81.846255,2021-06-11,2021-07-06,2022-03-10,Completed,984487.63,960919.21,979713.33,0.0,Sai Krupa Water Solutions,REG-MP-88321,EFGHI5678K,2018-10-09,919041.94,True,https://mplad-portal.gov.in/photos/geo_proof_11.jpg,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-MA-2021-1012,Shri Suresh Patel,Indore (MP-26),Madhya Pradesh,Indore,Community Hall & Cyclone Shelter,25.435964,81.846257,2022-02-16,2022-04-11,,Stalled,5049146.4,4765434.91,616618.5,4148816.41,Eastern Shelter Builders,REG-OD-22104,JKLMN0123Q,2018-10-15,4555995.05,False,,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-UT-2022-1013,Smt. Priya Sharma,Allahabad (UP-53),Uttar Pradesh,Prayagraj,Anganwadi & Nutritious Meal Center,25.435991,81.846202,2022-03-28,2022-04-12,,Ongoing,912116.37,827052.43,258507.79,568544.64,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2015-08-27,799363.89,False,,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-RA-2023-1014,Smt. Meena Devi,Jaipur Rural (RJ-06),Rajasthan,Jaipur,Community Health Center Expansion,25.435636,81.846429,2023-08-27,2023-10-12,2024-06-28,Completed,3349419.73,3046071.43,3063335.82,0.0,Surya Power & Solar Ltd,REG-DL-44321,KLMNO1234R,2022-03-24,2947728.64,True,https://mplad-portal.gov.in/photos/geo_proof_14.jpg,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-KA-2024-1015,Shri Tejasvi Surya,Bengaluru South (KA-26),Karnataka,Bengaluru Urban,School Classroom & Lab Building,25.435694,81.846184,2021-08-12,2021-09-27,2022-01-14,Completed,3640294.83,3429842.7,3279652.87,150189.83,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2015-10-28,3301190.41,True,https://mplad-portal.gov.in/photos/geo_proof_15.jpg,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-JH-2021-1016,Shri Sanjay Seth,Ranchi (JH-08),Jharkhand,Ranchi,Community Hall & Cyclone Shelter,25.435956,81.846466,2021-01-31,2021-02-26,,Ongoing,2154656.43,2026759.05,998266.73,1028492.32,Shree Balaji Constructions,REG-BR-45210,BCDEF2345G,2019-08-10,2013043.0,False,,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-BI-2022-1017,Shri Arvind Singh,Patna Sahib (BR-30),Bihar,Patna,Public Sanitation Complex & Toilets,25.435853,81.846452,2023-07-21,2023-09-10,,Ongoing,5613537.22,5491926.41,3101557.34,2390369.07,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2020-08-08,5350968.27,False,,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-MA-2023-1018,Shri Suresh Patel,Indore (MP-26),Madhya Pradesh,Indore,Deep Borewell & Drinking Water Supply,25.435907,81.846263,2022-10-05,2022-10-27,2023-01-07,Completed,4019952.68,3960746.77,3724948.68,235798.09,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2019-11-09,3952979.53,False,,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-UT-2024-1019,Smt. Priya Sharma,Allahabad (UP-53),Uttar Pradesh,Prayagraj,Model Digital Library & Smart Class,25.435614,81.846447,2021-09-03,2021-11-29,2022-04-01,Completed,778191.64,706752.36,710610.18,0.0,Shree Balaji Constructions,REG-BR-45210,BCDEF2345G,2017-12-05,691388.52,True,https://mplad-portal.gov.in/photos/geo_proof_19.jpg,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-RA-2021-1020,Smt. Meena Devi,Jaipur Rural (RJ-06),Rajasthan,Jaipur,Anganwadi & Nutritious Meal Center,25.435929,81.846476,2022-09-07,2022-11-19,,Sanctioned,7050140.01,6351693.54,986353.31,5365340.23,Pioneer Civil Works,REG-RJ-77412,DEFGH4567J,2020-09-28,6212907.02,False,,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-UT-2022-1021,Smt. Priya Sharma,Allahabad (UP-53),Uttar Pradesh,Prayagraj,Community Hall & Cyclone Shelter,25.435788,81.846265,2022-12-16,2023-01-08,2023-10-20,Completed,2494911.74,2354743.75,2332652.33,22091.42,Pioneer Civil Works,REG-RJ-77412,DEFGH4567J,2016-03-16,2272624.08,True,https://mplad-portal.gov.in/photos/geo_proof_21.jpg,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-UT-2023-1022,Shri Ramesh Kumar,Phoolpur (UP-52),Uttar Pradesh,Prayagraj,Community Hall & Cyclone Shelter,25.435936,81.846387,2021-10-03,2021-11-20,,Sanctioned,5696916.79,5215782.49,367394.86,4848387.63,Sai Krupa Water Solutions,REG-MP-88321,EFGHI5678K,2017-02-02,5009923.29,False,,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-RA-2024-1023,Smt. Meena Devi,Jaipur Rural (RJ-06),Rajasthan,Jaipur,Community Health Center Expansion,25.435951,81.846428,2021-04-15,2021-05-11,2021-12-19,Completed,2436761.57,2193949.41,2238367.01,0.0,Trimurti Civil Developers,REG-WB-33219,IJKLM9012P,2015-07-07,2154141.67,True,https://mplad-portal.gov.in/photos/geo_proof_23.jpg,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-MA-2021-1024,Shri Rajesh Patil,Pune (MH-34),Maharashtra,Pune,Public Sanitation Complex & Toilets,25.43593,81.846379,2021-11-02,2022-01-25,,Ongoing,4577566.97,4187601.2,1469756.76,2717844.44,Trimurti Civil Developers,REG-WB-33219,IJKLM9012P,2020-07-27,4042764.29,False,,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-UT-2022-1025,Shri Ravi Shankar,Varanasi (UP-77),Uttar Pradesh,Varanasi,Anganwadi & Nutritious Meal Center,25.435803,81.846241,2022-12-26,2023-03-22,,Sanctioned,7316859.16,7133555.46,1650996.89,5482558.57,Pioneer Civil Works,REG-RJ-77412,DEFGH4567J,2020-05-05,6861316.63,False,,"Work completed as per norms, funds utilized properly as sanctioned. Karya niyamanoosar sampann hua."
MPLAD-JH-2023-1026,Shri Sanjay Seth,Ranchi (JH-08),Jharkhand,Ranchi,Solar High-Mast Street Lighting,23.268066,85.34745,2022-11-12,2023-01-18,,Ongoing,5645402.77,5220962.9,1898755.28,3322207.62,Green Valley Infrastructure,REG-KA-55432,GHIJK7890M,2017-10-03,5142982.13,False,,"Karya 'Solar High-Mast Street Lighting' at Gram Panchayat Ranchi successfully completed. Total expenditure Rs 1,898,755.28 verified against Sanction Order 2022/MPLAD/26. Site inspection conducted by Junior Engineer PWD on 10-Oct-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-CH-2024-1027,Shri Sunil Soni,Raipur (CG-08),Chhattisgarh,Raipur,Road Construction & Culverts,21.206989,81.680254,2023-08-01,2023-09-29,,Ongoing,6599261.25,6086448.2,3432837.57,2653610.63,Om Shakti Roadways,REG-GJ-99120,HIJKL8901N,2019-08-21,5903387.92,False,,"Karya 'Road Construction & Culverts' at Gram Panchayat Raipur successfully completed. Total expenditure Rs 3,432,837.57 verified against Sanction Order 2023/MPLAD/27. Site inspection conducted by Junior Engineer PWD on 14-Feb-2024. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-CH-2021-1028,Shri Sunil Soni,Raipur (CG-08),Chhattisgarh,Raipur,School Classroom & Lab Building,21.227583,81.631105,2022-11-10,2022-11-28,,Sanctioned,2328506.37,2230846.42,548537.57,1682308.85,Sai Krupa Water Solutions,REG-MP-88321,EFGHI5678K,2017-03-02,2123571.4,False,,"Karya 'School Classroom & Lab Building' at Gram Panchayat Raipur successfully completed. Total expenditure Rs 548,537.57 verified against Sanction Order 2022/MPLAD/28. Site inspection conducted by Junior Engineer PWD on 25-Feb-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-OD-2022-1029,Shri Pinaki Mishra,Puri (OD-17),Odisha,Puri,Anganwadi & Nutritious Meal Center,19.830493,85.833028,2023-02-28,2023-05-27,2023-09-12,Completed,5461496.99,4916270.98,5114518.48,0.0,Green Valley Infrastructure,REG-KA-55432,GHIJK7890M,2020-02-17,4802816.23,True,https://mplad-portal.gov.in/photos/geo_proof_29.jpg,"Karya 'Anganwadi & Nutritious Meal Center' at Gram Panchayat Puri successfully completed. Total expenditure Rs 5,114,518.48 verified against Sanction Order 2023/MPLAD/29. Site inspection conducted by Junior Engineer PWD on 12-Sep-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-OD-2023-1030,Shri Pinaki Mishra,Puri (OD-17),Odisha,Puri,Public Sanitation Complex & Toilets,19.88532,85.898523,2022-10-05,2022-11-04,,Sanctioned,4049857.53,3914953.9,319247.76,3595706.14,Shree Balaji Constructions,REG-BR-45210,BCDEF2345G,2020-07-06,3855683.15,False,,"Karya 'Public Sanitation Complex & Toilets' at Gram Panchayat Puri successfully completed. Total expenditure Rs 319,247.76 verified against Sanction Order 2022/MPLAD/30. Site inspection conducted by Junior Engineer PWD on 06-Jul-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-RA-2024-1031,Smt. Meena Devi,Jaipur Rural (RJ-06),Rajasthan,Jaipur,Public Sanitation Complex & Toilets,26.982858,75.815671,2021-12-23,2022-03-20,2022-08-04,Completed,6336076.19,5895006.05,5584479.23,310526.82,Surya Power & Solar Ltd,REG-DL-44321,KLMNO1234R,2017-07-18,5831858.4,True,https://mplad-portal.gov.in/photos/geo_proof_31.jpg,"Karya 'Public Sanitation Complex & Toilets' at Gram Panchayat Jaipur successfully completed. Total expenditure Rs 5,584,479.23 verified against Sanction Order 2021/MPLAD/31. Site inspection conducted by Junior Engineer PWD on 04-Aug-2022. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-WE-2021-1032,Smt. Ananya Sen,Diamond Harbour (WB-21),West Bengal,South 24 Parganas,Drainage Canal Paving,22.2231,88.191788,2021-12-14,2022-01-08,2022-05-20,Completed,4930585.99,4602794.84,4724285.84,0.0,Om Shakti Roadways,REG-GJ-99120,HIJKL8901N,2018-08-12,4545521.84,True,https://mplad-portal.gov.in/photos/geo_proof_32.jpg,"Karya 'Drainage Canal Paving' at Gram Panchayat South 24 Parganas successfully completed. Total expenditure Rs 4,724,285.84 verified against Sanction Order 2021/MPLAD/32. Site inspection conducted by Junior Engineer PWD on 20-May-2022. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-JH-2022-1033,Shri Sanjay Seth,Ranchi (JH-08),Jharkhand,Ranchi,Deep Borewell & Drinking Water Supply,23.268008,85.268775,2023-09-01,2023-09-25,2024-03-19,Completed,4908357.67,4512957.67,4560461.3,0.0,National Highway Contractors,REG-MH-11209,CDEFG3456H,2022-10-14,4398864.95,True,https://mplad-portal.gov.in/photos/geo_proof_33.jpg,"Karya 'Deep Borewell & Drinking Water Supply' at Gram Panchayat Ranchi successfully completed. Total expenditure Rs 4,560,461.30 verified against Sanction Order 2023/MPLAD/33. Site inspection conducted by Junior Engineer PWD on 19-Mar-2024. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-UT-2023-1034,Shri Ravi Shankar,Varanasi (UP-77),Uttar Pradesh,Varanasi,School Classroom & Lab Building,25.272615,83.022558,2023-11-27,2024-02-09,2024-04-21,Completed,6922290.1,6314069.03,5918392.11,395676.92,Green Valley Infrastructure,REG-KA-55432,GHIJK7890M,2019-07-12,6145055.05,True,https://mplad-portal.gov.in/photos/geo_proof_34.jpg,"Karya 'School Classroom & Lab Building' at Gram Panchayat Varanasi successfully completed. Total expenditure Rs 5,918,392.11 verified against Sanction Order 2023/MPLAD/34. Site inspection conducted by Junior Engineer PWD on 21-Apr-2024. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-JH-2024-1035,Shri Sanjay Seth,Ranchi (JH-08),Jharkhand,Ranchi,Drainage Canal Paving,23.394501,85.372323,2023-05-24,2023-08-17,,Sanctioned,5705588.1,5405858.97,350288.24,5055570.73,Eastern Shelter Builders,REG-OD-22104,JKLMN0123Q,2019-06-19,5202393.18,False,,"Karya 'Drainage Canal Paving' at Gram Panchayat Ranchi successfully completed. Total expenditure Rs 350,288.24 verified against Sanction Order 2023/MPLAD/35. Site inspection conducted by Junior Engineer PWD on 07-Feb-2024. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-JH-2021-1036,Shri Sanjay Seth,Ranchi (JH-08),Jharkhand,Ranchi,Community Hall & Cyclone Shelter,23.36438,85.273536,2021-06-08,2021-07-29,2021-11-26,Completed,2737966.98,2612062.18,2450084.62,161977.56,Om Shakti Roadways,REG-GJ-99120,HIJKL8901N,2018-03-20,2511662.54,True,https://mplad-portal.gov.in/photos/geo_proof_36.jpg,"Karya 'Community Hall & Cyclone Shelter' at Gram Panchayat Ranchi successfully completed. Total expenditure Rs 2,450,084.62 verified against Sanction Order 2021/MPLAD/36. Site inspection conducted by Junior Engineer PWD on 26-Nov-2021. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-UT-2022-1037,Smt. Priya Sharma,Allahabad (UP-53),Uttar Pradesh,Prayagraj,Public Sanitation Complex & Toilets,25.408741,81.840848,2021-05-08,2021-06-18,2022-03-18,Completed,6833869.35,6549634.66,6617868.68,0.0,Green Valley Infrastructure,REG-KA-55432,GHIJK7890M,2016-04-06,6502717.02,True,https://mplad-portal.gov.in/photos/geo_proof_37.jpg,"Karya 'Public Sanitation Complex & Toilets' at Gram Panchayat Prayagraj successfully completed. Total expenditure Rs 6,617,868.68 verified against Sanction Order 2021/MPLAD/37. Site inspection conducted by Junior Engineer PWD on 18-Mar-2022. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-WE-2023-1038,Smt. Ananya Sen,Diamond Harbour (WB-21),West Bengal,South 24 Parganas,Road Construction & Culverts,22.162778,88.172398,2023-05-09,2023-07-31,,Ongoing,6099077.2,6036751.55,2989953.49,3046798.06,Bharat Engineering Associates,REG-TN-66543,FGHIJ6789L,2017-01-31,5817296.11,False,,"Karya 'Road Construction & Culverts' at Gram Panchayat South 24 Parganas successfully completed. Total expenditure Rs 2,989,953.49 verified against Sanction Order 2023/MPLAD/38. Site inspection conducted by Junior Engineer PWD on 07-Apr-2024. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-UT-2024-1039,Shri Ramesh Kumar,Phoolpur (UP-52),Uttar Pradesh,Prayagraj,Public Sanitation Complex & Toilets,25.46282,81.894003,2021-12-05,2022-02-17,2022-12-09,Completed,4855798.73,4383313.22,4257173.01,126140.21,Bharat Engineering Associates,REG-TN-66543,FGHIJ6789L,2016-04-20,4287842.9,False,,"Karya 'Public Sanitation Complex & Toilets' at Gram Panchayat Prayagraj successfully completed. Total expenditure Rs 4,257,173.01 verified against Sanction Order 2021/MPLAD/39. Site inspection conducted by Junior Engineer PWD on 09-Dec-2022. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-BI-2021-1040,Shri Arvind Singh,Patna Sahib (BR-30),Bihar,Patna,Drainage Canal Paving,25.522146,85.118257,2022-03-10,2022-05-22,2022-10-12,Completed,6657479.9,6176980.69,6446646.27,0.0,National Highway Contractors,REG-MH-11209,CDEFG3456H,2016-02-04,5998331.55,True,https://mplad-portal.gov.in/photos/geo_proof_40.jpg,"Karya 'Drainage Canal Paving' at Gram Panchayat Patna successfully completed. Total expenditure Rs 6,446,646.27 verified against Sanction Order 2022/MPLAD/40. Site inspection conducted by Junior Engineer PWD on 12-Oct-2022. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-UT-2022-1041,Shri Ramakant Yadav,Azamgarh (UP-69),Uttar Pradesh,Prayagraj,Community Hall & Cyclone Shelter,25.515785,81.822294,2021-05-21,2021-06-10,2022-02-18,Completed,2230983.13,2195115.36,2196813.58,0.0,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2019-04-14,2111541.28,True,https://mplad-portal.gov.in/photos/geo_proof_41.jpg,"Work completed as per norms, funds utilized properly as sanctioned. Rashi ka upayog uchit paya gaya."
MPLAD-TA-2023-1042,Shri Ramakant Yadav,Azamgarh (UP-69),Tamil Nadu,Salem,Deep Borewell & Drinking Water Supply,11.696214,78.188704,2021-12-10,2022-01-08,,Ongoing,7253045.41,6606145.38,2049697.78,4556447.6,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2016-11-29,6378879.86,False,,"Work completed as per norms, funds utilized properly as sanctioned. Rashi ka upayog uchit paya gaya."
MPLAD-UT-2024-1043,Shri Ramakant Yadav,Azamgarh (UP-69),Uttar Pradesh,Gorakhpur,Deep Borewell & Drinking Water Supply,26.775336,83.426091,2022-05-13,2022-06-10,,Ongoing,6452052.67,6194236.14,2158208.31,4036027.83,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2021-01-30,6189232.54,False,,"Work completed as per norms, funds utilized properly as sanctioned. Rashi ka upayog uchit paya gaya."
MPLAD-OD-2021-1044,Shri Ramakant Yadav,Azamgarh (UP-69),Odisha,Puri,Community Hall & Cyclone Shelter,19.839343,85.762233,2022-11-30,2022-12-16,2023-09-19,Completed,3931411.93,3708706.64,3586632.5,122074.14,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2020-05-18,3688600.82,True,https://mplad-portal.gov.in/photos/geo_proof_44.jpg,"Work completed as per norms, funds utilized properly as sanctioned. Rashi ka upayog uchit paya gaya."
MPLAD-UT-2022-1045,Shri Ramakant Yadav,Azamgarh (UP-69),Uttar Pradesh,Gorakhpur,Solar High-Mast Street Lighting,26.764079,83.397273,2023-09-18,2023-12-01,,Ongoing,4647322.33,4332375.43,1725143.52,2607231.91,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2019-10-07,4318213.3,False,,"Work completed as per norms, funds utilized properly as sanctioned. Rashi ka upayog uchit paya gaya."
MPLAD-UT-2023-1046,Shri Ramakant Yadav,Azamgarh (UP-69),Uttar Pradesh,Varanasi,Drainage Canal Paving,25.357676,82.985076,2023-02-16,2023-04-15,2023-06-21,Completed,2775099.18,2632889.2,2543705.99,89183.21,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2019-03-18,2535255.4,True,https://mplad-portal.gov.in/photos/geo_proof_46.jpg,"Work completed as per norms, funds utilized properly as sanctioned. Rashi ka upayog uchit paya gaya."
MPLAD-MA-2024-1047,Shri Ramakant Yadav,Azamgarh (UP-69),Maharashtra,Pune,Road Construction & Culverts,18.59209,73.790398,2023-04-13,2023-06-29,,Ongoing,5334265.38,5145380.59,2553799.21,2591581.38,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2021-06-01,5092108.63,False,,"Work completed as per norms, funds utilized properly as sanctioned. Rashi ka upayog uchit paya gaya."
